duplicate_group_id,image_id,split,source_object_count,converted_object_count,group_object_counts,boxes_identical_to_group,conversion_integrity_valid,blocking_issue,verified_explanation
611532acc5ec2bf348ef5c4188532e15c8de490178c8b33cdc8fc972d2fb64d3,levle1_54,train,9,9,levle1_136:7;levle1_54:9,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
6bbc2d30d4bb10853d24f732a29fe7cba57df0628ce087cc02a9b3ddce8dc485,levle1_573,train,16,16,levle1_573:16;levle1_575:15,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
6bbc2d30d4bb10853d24f732a29fe7cba57df0628ce087cc02a9b3ddce8dc485,levle1_575,train,15,15,levle1_573:16;levle1_575:15,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
6dab728e8bfca66d940a03e8f880b31598ca6b0fa8d16bca7b766a03953e0fa4,levle1_135,train,7,7,levle1_135:7;levle1_209:6,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
6dab728e8bfca66d940a03e8f880b31598ca6b0fa8d16bca7b766a03953e0fa4,levle1_209,train,6,6,levle1_135:7;levle1_209:6,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
828240b5dd6441a5b7e339b1c4257725175f9d1b6ec01d90a000bbfec1d16be5,levle0_121,train,5,5,levle0_121:5;levle1_504:7,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
828240b5dd6441a5b7e339b1c4257725175f9d1b6ec01d90a000bbfec1d16be5,levle1_504,train,7,7,levle0_121:5;levle1_504:7,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
85ea30ada51213b9e42f13611eb085c8a0be1b7e8d68861a2a73fa0cf7839ed6,levle1_166,train,7,7,levle1_166:7;levle1_292:10,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
85ea30ada51213b9e42f13611eb085c8a0be1b7e8d68861a2a73fa0cf7839ed6,levle1_292,train,10,10,levle1_166:7;levle1_292:10,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
8e219a67bbef8530223502453b2c1924b89b56e8ca09e6b84120a84354bb8615,levle0_172,train,4,4,levle0_172:4;levle1_283:11,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
8e219a67bbef8530223502453b2c1924b89b56e8ca09e6b84120a84354bb8615,levle1_283,train,11,11,levle0_172:4;levle1_283:11,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
9d1adbdaf1926dc91901a53e69f56be19045ea7f3f36f557244a7f0367f833d9,levle0_185,train,3,3,levle0_185:3;levle1_286:7,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
9d1adbdaf1926dc91901a53e69f56be19045ea7f3f36f557244a7f0367f833d9,levle1_286,train,7,7,levle0_185:3;levle1_286:7,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
a83e345a1b8432e7a4b192ecd8df57d898430f57f7b03aad8c115d719a362bef,levle1_164,train,7,7,levle1_164:7;levle1_291:9,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
a83e345a1b8432e7a4b192ecd8df57d898430f57f7b03aad8c115d719a362bef,levle1_291,train,9,9,levle1_164:7;levle1_291:9,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
acf8394dd155c64512e3cf445577307615150567a0b42bfa0ec26c5e770963a6,levle3_109,test,52,52,levle3_109:52;levle3_140:54,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
acf8394dd155c64512e3cf445577307615150567a0b42bfa0ec26c5e770963a6,levle3_140,test,54,54,levle3_109:52;levle3_140:54,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
af66359e36acb57b34e05a2afdcecc11f2e79d77d86da66bae0197b7875c5971,levle1_610,val,9,9,levle1_610:9;levle1_611:11,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
af66359e36acb57b34e05a2afdcecc11f2e79d77d86da66bae0197b7875c5971,levle1_611,val,11,11,levle1_610:9;levle1_611:11,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b257a192234a349684044c442598529d18dcd6830961450fd72620606f967045,levle0_117,val,2,2,levle0_117:2;levle0_207:1,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b257a192234a349684044c442598529d18dcd6830961450fd72620606f967045,levle0_207,val,1,1,levle0_117:2;levle0_207:1,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b25d783297ecffaacce4206049d1c91c1be56df59a47008f6cb95fb46dbb497b,levle1_138,val,8,8,levle1_138:8;levle1_460:9,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b25d783297ecffaacce4206049d1c91c1be56df59a47008f6cb95fb46dbb497b,levle1_460,val,9,9,levle1_138:8;levle1_460:9,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b538b91a3834cc61f2bae23436e14c79dc7695f268b9faed486bcafca0ba87fe,levle1_131,train,11,11,levle1_131:11;levle2_128:14,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
b538b91a3834cc61f2bae23436e14c79dc7695f268b9faed486bcafca0ba87fe,levle2_128,train,14,14,levle1_131:11;levle2_128:14,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
bee48890973035c00481b8ccb33e15b76b0d0d9ba2599e86c0b4f1af3fbeaf65,levle1_133,train,9,9,levle1_133:9;levle1_503:8,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
bee48890973035c00481b8ccb33e15b76b0d0d9ba2599e86c0b4f1af3fbeaf65,levle1_503,train,8,8,levle1_133:9;levle1_503:8,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
c0a65e9715c24491a9cf3bbadbf88e06ebe4e5040ebaffdf9d70f997995c7933,levle1_161,train,8,8,levle1_161:8;levle1_288:11,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
c0a65e9715c24491a9cf3bbadbf88e06ebe4e5040ebaffdf9d70f997995c7933,levle1_288,train,11,11,levle1_161:8;levle1_288:11,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
e5927997a3ff6d90155559c5ef3d7bca1eeb6c7b10fef464dbf1a3b8694893c6,levle1_140,val,9,9,levle1_140:9;levle1_358:6,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
e5927997a3ff6d90155559c5ef3d7bca1eeb6c7b10fef464dbf1a3b8694893c6,levle1_358,val,6,6,levle1_140:9;levle1_358:6,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
e6f1ca9fee7ba325b431b4d8b9479f5ffe08614b6e9ddefa7e11d3f0401aa1f7,levle1_22,train,7,7,levle1_22:7;levle2_152:22,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
e6f1ca9fee7ba325b431b4d8b9479f5ffe08614b6e9ddefa7e11d3f0401aa1f7,levle2_152,train,22,22,levle1_22:7;levle2_152:22,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
fb7acfc404266134438b0e34714416700ae62d723b62e887df9c5ab899f42042,levle2_72,train,25,25,levle2_72:25;levle2_97:24,true,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
fb7acfc404266134438b0e34714416700ae62d723b62e887df9c5ab899f42042,levle2_97,train,24,24,levle2_72:25;levle2_97:24,false,true,false,Identical SHA-256 image files have different source XML annotation counts and coordinates; the converted YOLO boxes exactly preserve this image's own source XML annotations.
